anime_id,name,genre,type,episodes,rating,members
21899,"Gintama: Yorinuki Gintama-san on Theater 2D","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
7472,"Gintama Movie: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
22535,"Kiseijuu: Sei no Kakuritsu","Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
12431,"Uchuu Kyoudai","Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
801,"Ghost in the Shell: Stand Alone Complex 2nd GIG","Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
3784,"Evangelion: 2.0 You Can (Not) Advance","Action, Mecha, Sci-Fi",Movie,1,8.53,182224
13125,"Shinsekai yori","Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
12029,"Uchuu Senkan Yamato 2199","Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
9756,"Mahou Shoujo Madoka★Magica","Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
13601,"Psycho-Pass","Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
11981,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
11979,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari","Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
467,"Ghost in the Shell: Stand Alone Complex","Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
10863,"Steins;Gate: Oukoubakko no Poriomania","Sci-Fi, Thriller",Special,1,8.46,159548
32,"Neon Genesis Evangelion: The End of Evangelion","Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
2236,"Toki wo Kakeru Shoujo","Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
10937,"Mobile Suit Gundam: The Origin","Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
1889,"Higurashi no Naku Koro ni Kai","Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
5040,"One Outs","Psychological, Seinen, Sports",TV,25,8.41,83056
5,"Cowboy Bebop: Tengoku no Tobira","Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
6336,"Mobile Suit Gundam Unicorn","Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
1210,"NHK ni Youkoso!","Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
329,"Planetes","Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
34240,"Shelter","Music, Sci-Fi",Music,1,8.38,71136
513,"Tenkuu no Shiro Laputa","Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
6945,"Gintama: Shiroyasha Koutan","Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
16782,"Kotonoha no Niwa","Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
21557,"Omoide no Marnie","Drama, Mystery, Psychological",Movie,1,8.35,53590
43,"Ghost in the Shell","Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
32188,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero","Sci-Fi, Thriller",Special,1,8.34,38147
3091,"xxxHOLiC Kei","Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941
28223,"Death Parade","Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
3002,"Gyakkyou Burai Kaiji: Ultimate Survivor","Game, Psychological, Seinen, Thriller",TV,26,8.33,98996
6675,"Redline","Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
30,"Neon Genesis Evangelion","Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
6,"Trigun","Action, Comedy, Sci-Fi",TV,26,8.32,283069
9735,"Gintama: Shinyaku Benizakura-hen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
11977,"Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari","Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164
962,"Aria The Natural","Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596
5681,"Summer Wars","Comedy, Sci-Fi",Movie,1,8.3,223359
10271,"Gyakkyou Burai Kaiji: Hakairoku-hen","Game, Psychological, Seinen, Thriller",TV,26,8.29,55566
3701,"Kaiba","Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,56927
239,"Gankutsuou","Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
23327,"Space☆Dandy 2nd Season","Comedy, Sci-Fi, Space",TV,13,8.27,60918
3167,"Eve no Jikan","Sci-Fi, Slice of Life",ONA,6,8.26,99074
7465,"Eve no Jikan (Movie)","Sci-Fi, Slice of Life",Movie,1,8.26,66376
1257,"Saint Seiya: Meiou Hades Juuni Kyuu-hen","Adventure, Sci-Fi, Shounen",OVA,13,8.26,23701
23283,"Zankyou no Terror","Psychological, Thriller",TV,11,8.26,342893
2025,"Darker than Black: Kuro no Keiyakusha","Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
1382,"Yuusha-Ou GaoGaiGar Final","Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25,5001
2581,"Mobile Suit Gundam 00","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351
437,"Perfect Blue","Dementia, Drama, Horror, Psychological",Movie,1,8.23,117565
12477,"Sakasama no Patema","Sci-Fi, Seinen",Movie,1,8.23,89749
1566,"Ghost in the Shell: Stand Alone Complex - Solid State Society","Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,1,8.22,55247
440,"Shoujo Kakumei Utena","Drama, Fantasy, Psychological, Shoujo",TV,39,8.22,77464
2759,"Evangelion: 1.0 You Are (Not) Alone","Action, Mecha, Sci-Fi",Movie,1,8.21,194561
3016,"Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture","Action, Drama, Military, Sci-Fi, Space",Movie,1,8.21,11808
3927,"Mobile Suit Gundam 00 Second Season","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.21,86972
29893,"Aria The Avvenire","Fantasy, Sci-Fi, Shounen, Slice of Life",Special,3,8.2,9500
3371,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari","Action, Military, Sci-Fi, Space",OVA,24,8.2,8621
25313,"Gintama: Jump Festa 2014 Special","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.2,13764
33051,"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season","Action, Drama, Mecha, Sci-Fi, Space",TV,25,8.2,21210
2164,"Dennou Coil","Adventure, Comedy, Drama, Mystery, Sci-Fi",TV,26,8.19,76860
237,"Eureka Seven","Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19,239570
2449,"Ghost in the Shell: Stand Alone Complex - The Laughing Man","Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen",Special,1,8.19,21435
934,"Higurashi no Naku Koro ni","Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,8.17,359494
731,"Interstella5555: The 5tory of The 5ecret 5tar 5ystem","Adventure, Drama, Music, Sci-Fi",Music,1,8.17,31464
4918,"xxxHOLiC Shunmuki","Comedy, Drama, Mystery, Psychological, Supernatural",OVA,2,8.17,40401
14075,"Zetsuen no Tempest","Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900
302,"Mirai Shounen Conan","Adventure, Drama, Sci-Fi",TV,26,8.16,15557
16049,"Toaru Kagaku no Railgun S","Action, Sci-Fi, Super Power",TV,24,8.16,137105
47,"Akira","Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,8.15,215897
1943,"Paprika","Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",Movie,1,8.15,163308
2563,"Aria The OVA: Arietta","Fantasy, Sci-Fi, Shounen, Slice of Life",OVA,1,8.13,20629
2951,"Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi","Action, Comedy, Historical, Mecha, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.13,29331
81,"Mobile Suit Gundam: The 08th MS Team","Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,8.13,34177
1023,"Wolf&#039;s Rain OVA","Adventure, Drama, Psychological, Sci-Fi, Supernatural",OVA,4,8.13,37679
24921,"Aoki Hagane no Arpeggio: Ars Nova Cadenza","Action, Sci-Fi, Seinen",Movie,1,8.12,12353
4672,"Ghost in the Shell 2.0","Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.12,51789
2448,"Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven","Action, Mecha, Sci-Fi",Special,1,8.12,16614
3907,"Ginga Sengoku Gunyuuden Rai","Adventure, Romance, Sci-Fi, Shounen, Space",TV,52,8.12,5308
21469,"Stand By Me Doraemon","Comedy, Kids, Sci-Fi, Shounen",Movie,1,8.12,5712
2154,"Tekkon Kinkreet","Action, Adventure, Psychological, Supernatural",Movie,1,8.11,46018
861,"xxxHOLiC","Comedy, Drama, Mystery, Psychological, Supernatural",TV,24,8.11,150872
34103,"Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen","Action, Horror, Mystery, Psychological",Special,1,8.1,29969
3665,"Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu","Drama, Military, Sci-Fi, Space",OVA,28,8.1,7712
7338,"Darker than Black: Kuro no Keiyakusha Gaiden","Action, Mystery, Sci-Fi, Super Power",Special,4,8.09,136135
3014,"Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai","Action, Historical, Military, Sci-Fi, Space",Movie,1,8.09,15069
11135,"Hybrid Child","Drama, Historical, Romance, Sci-Fi, Shounen Ai",OVA,4,8.09,26036
6774,"Kuuchuu Buranko","Comedy, Drama, Psychological, Seinen",TV,11,8.09,41521
1089,"Macross: Do You Remember Love?","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,8.09,19240
29095,"Grisaia no Rakuen","Drama, Harem, Psychological, Romance",TV,10,8.08,111962
1594,"Jigoku Shoujo Futakomori","Horror, Mystery, Psychological, Supernatural",TV,26,8.08,79816
10721,"Mawaru Penguindrum","Comedy, Drama, Mystery, Psychological",TV,24,8.08,156689
4106,"Trigun: Badlands Rumble","Action, Comedy, Sci-Fi",Movie,1,8.08,68181
387,"Haibane Renmei","Drama, Fantasy, Mystery, Psychological, Slice of Life",TV,13,8.07,120731
1088,"Macross","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,36,8.07,44157
10620,"Mirai Nikki (TV)","Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,8.07,657190
2158,"Terra e... (TV)","Action, Drama, Military, Sci-Fi, Space",TV,24,8.07,36941
22319,"Tokyo Ghoul","Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,8.07,618056
227,"FLCL","Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,8.06,305165
7222,"Macross F Movie 2: Sayonara no Tsubasa","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,8.06,17826
849,"Suzumiya Haruhi no Yuuutsu","Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,8.06,428569
14353,"Death Billiards","Drama, Game, Mystery, Psychological, Thriller",Movie,1,8.04,95690
793,"xxxHOLiC Movie: Manatsu no Yoru no Yume","Comedy, Drama, Mystery, Psychological, Supernatural",Movie,1,8.04,41547
790,"Ergo Proxy","Mystery, Psychological, Sci-Fi",TV,23,8.03,265005
5630,"Higashi no Eden","Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",TV,11,8.03,276593
85,"Mobile Suit Zeta Gundam","Drama, Mecha, Military, Sci-Fi, Space",TV,50,8.03,28959
1254,"Saint Seiya","Adventure, Fantasy, Sci-Fi, Shounen",TV,114,8.03,70559
3572,"Macross F","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,25,8.02,95551
658,"Touhai Densetsu Akagi: Yami ni Maiorita Tensai","Game, Psychological, Seinen, Thriller",TV,26,8.02,48127
2321,"Giant Robo the Animation: Chikyuu ga Seishi Suru Hi","Action, Mecha, Sci-Fi, Shounen, Super Power",OVA,7,8,12283
31973,"Mobile Suit Gundam Thunderbolt","Action, Drama, Mecha, Military, Sci-Fi, Space",ONA,4,8,14419
967,"Hokuto no Ken","Action, Drama, Martial Arts, Sci-Fi, Shounen",TV,109,7.99,40271
339,"Serial Experiments Lain","Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",TV,13,7.99,215829
19319,"Gundam Build Fighters","Action, Mecha, Sci-Fi",TV,25,7.98,31606
400,"Seihou Bukyou Outlaw Star","Action, Adventure, Comedy, Sci-Fi, Space",TV,24,7.98,78600
267,"Gungrave","Action, Drama, Sci-Fi, Seinen, Super Power",TV,26,7.97,95825
569,"Musekinin Kanchou Tylor","Comedy, Military, Parody, Sci-Fi, Space",TV,26,7.97,19841
1253,"Saint Seiya: Meiou Hades Meikai-hen","Action, Adventure, Demons, Fantasy, Sci-Fi, Shounen, Super Power",OVA,12,7.97,21240
397,"Seikai no Senki II","Action, Military, Romance, Sci-Fi, Space",TV,10,7.97,13888
949,"Top wo Nerae! Gunbuster","Action, Comedy, Drama, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,7.97,51724
31251,"Mobile Suit Gundam: Iron-Blooded Orphans","Action, Drama, Mecha, Sci-Fi, Space",TV,25,7.96,60525
890,"Yuusha-Ou GaoGaiGar","Adventure, Mecha, Sci-Fi, Shounen",TV,49,7.96,10031
33028,"Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen","Action, Horror, Mystery, Psychological",TV,11,7.95,65503
27775,"Plastic Memories","Drama, Romance, Sci-Fi",TV,13,7.95,213493
21339,"Psycho-Pass Movie","Action, Military, Police, Sci-Fi",Movie,1,7.95,94677
24893,"Sidonia no Kishi: Daikyuu Wakusei Seneki","Action, Mecha, Sci-Fi, Seinen, Space",TV,12,7.95,57665
543,"Vampire Hunter D (2000)","Action, Drama, Fantasy, Horror, Romance, Sci-Fi, Vampire",Movie,1,7.95,68229
97,"Last Exile","Action, Adventure, Sci-Fi",TV,26,7.94,104193
2273,"Mobile Suit Gundam Wing: Endless Waltz Movie","Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.94,35711
468,"Ghost in the Shell 2: Innocence","Mecha, Military, Police, Psychological, Sci-Fi",Movie,1,7.93,85714
516,"Keroro Gunsou","Comedy, Sci-Fi, Shounen",TV,358,7.93,31632
5310,"Macross F Movie 1: Itsuwari no Utahime","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,7.93,20637
93,"Mobile Suit Gundam Seed","Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,7.93,96973
6154,"Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa","Adventure, Sci-Fi, Shounen",Special,2,7.93,4975
31711,"To LOVE-Ru Darkness 2nd Specials","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",Special,2,7.93,22487
23249,"Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune","Action, Drama, Military, Sci-Fi, Space",Movie,1,7.93,5431
202,"Wolf&#039;s Rain","Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26,7.93,171863
10090,"Ghost in the Shell: Stand Alone Complex - Solid State Society 3D","Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Movie,1,7.91,7515
33221,"Mobile Suit Gundam Thunderbolt: December Sky","Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.92,2833
31380,"To LOVE-Ru Darkness 2nd OVA","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,3,7.91,18575
7193,"Aoi Bungaku Series","Drama, Historical, Psychological, Seinen, Thriller",TV,12,7.9,93074
2761,"Densetsu Kyojin Ideon: Hatsudou-hen","Drama, Mecha, Sci-Fi, Space",Movie,1,7.9,2963
1491,"Ginga Tetsudou 999","Adventure, Drama, Sci-Fi, Space",TV,113,7.9,12672
433,"Kumo no Mukou, Yakusoku no Basho","Drama, Military, Romance, Sci-Fi",Movie,1,7.89,103975
80,"Mobile Suit Gundam","Action, Mecha, Military, Sci-Fi, Space",TV,43,7.89,51566
1092,"Mobile Suit Gundam III: Encounters in Space","Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.89,11343
1921,"Urusei Yatsura Movie 2: Beautiful Dreamer","Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,1,7.89,5663
875,"Mind Game","Adventure, Comedy, Dementia, Psychological, Romance",Movie,1,7.88,32756
32189,"Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen","Action, Horror, Mystery, Psychological",TV,12,7.87,83343
570,"Jin-Rou","Drama, Military, Police, Psychological, Romance",Movie,1,7.87,62464
90,"Mobile Suit Gundam Wing","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,49,7.87,86001
91,"Mobile Suit Gundam Wing: Endless Waltz","Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,7.87,28485
19775,"Sidonia no Kishi","Action, Mecha, Sci-Fi, Seinen, Space",TV,12,7.87,118341
9790,"Sora no Otoshimono: Tokeijikake no Angeloid","Comedy, Drama, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",Movie,1,7.87,70391
2582,"Soukou Kihei Votoms","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,52,7.87,9008
6213,"Toaru Kagaku no Railgun","Action, Sci-Fi, Super Power",TV,24,7.87,231079
1000,"Uchuu Kaizoku Captain Harlock","Action, Adventure, Drama, Sci-Fi, Seinen, Space",TV,42,7.87,14869
4454,"Macross F: Close Encounter - Deculture Edition","Action, Mecha, Military, Music, Sci-Fi, Space",Special,1,7.86,8911
31772,"One Punch Man Specials","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",Special,6,7.86,75502
396,"Seikai no Senki","Action, Military, Romance, Sci-Fi, Space",TV,13,7.86,18580
8407,"Sora no Otoshimono: Forte","Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,12,7.86,146697
20057,"Space☆Dandy","Comedy, Sci-Fi, Space",TV,13,7.86,123529
226,"Elfen Lied","Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,13,7.85,623511
82,"Mobile Suit Gundam 0080: War in the Pocket","Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,6,7.85,22609
31704,"One Punch Man: Road to Hero","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",OVA,1,7.85,94839
14941,"AKB0048: Next Stage","Music, Sci-Fi",TV,13,7.84,22302
978,"Change!! Getter Robo: Sekai Saigo no Hi","Action, Adventure, Horror, Mecha, Psychological, Sci-Fi, Shounen",OVA,13,7.84,5606
2994,"Death Note Rewrite","Mystery, Police, Psychological, Supernatural, Thriller",Special,2,7.84,88699
1462,"Memories","Drama, Horror, Psychological, Sci-Fi",Movie,3,7.84,38643
398,"Seikai no Senki III","Action, Military, Romance, Sci-Fi, Space",OVA,2,7.84,11044
2451,"Space Cobra","Action, Adventure, Sci-Fi, Space",TV,31,7.84,6919
8937,"Toaru Majutsu no Index II","Action, Magic, Sci-Fi, Super Power",TV,24,7.84,184520
12883,"Tsuritama","Comedy, Sci-Fi, Slice of Life, Sports",TV,12,7.84,90625
1096,"Mobile Police Patlabor 2: The Movie","Drama, Mecha, Mystery, Police, Sci-Fi",Movie,1,7.83,11957
290,"Seikai no Monshou","Action, Military, Romance, Sci-Fi, Space",TV,13,7.83,26379
5074,"Tetsuwan Birdy Decode:02","Action, Comedy, Sci-Fi",TV,12,7.83,29622
1690,"Bokurano","Drama, Mecha, Psychological, Sci-Fi",TV,24,7.82,81408
4177,"Bounen no Xamdou","Action, Military, Sci-Fi",ONA,26,7.82,79026
474,"Macross Plus","Drama, Mecha, Military, Romance, Sci-Fi, Space",OVA,4,7.82,23138
1211,"Macross Plus Movie Edition","Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Movie,1,7.82,8405
13663,"To LOVE-Ru Darkness","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.82,135929
13851,"To LOVE-Ru Darkness OVA","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,6,7.82,57166
233,"Daa! Daa! Daa!","Comedy, Sci-Fi, Shoujo",TV,78,7.81,12673
2397,"Digimon Adventure: Bokura no War Game!","Adventure, Comedy, Kids, Sci-Fi",Movie,1,7.81,37078
71,"Full Metal Panic!","Action, Comedy, Mecha, Military, Sci-Fi",TV,24,7.81,256325
10793,"Guilty Crown","Action, Drama, Sci-Fi, Super Power",TV,22,7.81,460959
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13,7.81,56839
3713,"Jigoku Shoujo Mitsuganae","Mystery, Psychological, Supernatural",TV,26,7.81,58993
87,"Mobile Suit Gundam: Char&#039;s Counterattack","Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.81,19258
1002,"Top wo Nerae 2! Diebuster","Action, Comedy, Mecha, Sci-Fi, Space",OVA,6,7.81,38691
28979,"To LOVE-Ru Darkness 2nd","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.8,73909
477,"Aria The Animation","Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,7.79,76913
228,"Jigoku Shoujo","Horror, Mystery, Psychological, Supernatural",TV,26,7.79,172415
32729,"Orange","Drama, Romance, School, Sci-Fi, Shoujo",TV,13,7.78,165358
208,"R.O.D OVA","Action, Adventure, Historical, Magic, Mystery, Sci-Fi",OVA,3,7.78,41701
540,"Tenchi Muyou! Ryououki 2nd Season","Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6,7.78,15837
26,"Texhnolyze","Action, Drama, Psychological, Sci-Fi",TV,22,7.78,95859
1293,"Urusei Yatsura","Action, Adventure, Comedy, Drama, Romance, Sci-Fi",TV,195,7.78,23020
856,"Utawarerumono","Action, Drama, Fantasy, Sci-Fi",TV,26,7.78,91034
7270,"Mobile Suit Gundam 00 Special Edition","Action, Drama, Mecha, Military, Sci-Fi",OVA,3,7.77,7087
539,"Tenchi Muyou! Ryououki","Action, Comedy, Sci-Fi, Shounen, Space",OVA,6,7.77,25902
2471,"Doraemon (1979)","Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen",TV,1787,7.76,14233
1301,"Ginga Tetsudou 999 (Movie)","Adventure, Drama, Fantasy, Sci-Fi, Space",Movie,1,7.76,7237
20785,"Mahouka Koukou no Rettousei","Magic, Romance, School, Sci-Fi, Supernatural",TV,26,7.76,285317
10161,"No.6","Action, Sci-Fi",TV,11,7.76,168017
95,"Turn A Gundam","Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",TV,50,7.76,20056
986,"Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen","Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Special,1,7.75,46276
32491,"Kanojo to Kanojo no Neko: Everything Flows","Psychological, Romance, Slice of Life",TV,4,7.75,38765
3466,"Kino no Tabi: The Beautiful World - Tou no Kuni","Adventure, Fantasy, Psychological",Special,1,7.75,19211
24405,"World Trigger","Action, School, Sci-Fi, Shounen, Supernatural",TV,73,7.75,106872
4416,"Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering","Action, Mecha, Sci-Fi, Super Power",TV,12,7.75,1780
16528,"Hal","Romance, Sci-Fi, Shoujo",Movie,1,7.74,50812
323,"Mousou Dairinin","Drama, Mystery, Police, Psychological, Supernatural, Thriller",TV,13,7.74,137687
584,"Noein: Mou Hitori no Kimi e","Adventure, Drama, Sci-Fi, Slice of Life",TV,24,7.74,56244
30549,"Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season","Action, Drama, Mecha, Military, Sci-Fi",TV,13,7.74,6787
1279,"Taiyou no Ko Esteban","Adventure, Historical, Sci-Fi",TV,39,7.74,5424
32979,"Flip Flappers","Comedy, Sci-Fi",TV,13,7.73,40945
1650,"Uchuu Senkan Yamato","Action, Adventure, Drama, Military, Sci-Fi, Space",TV,26,7.73,10688
2724,"Daicon Opening Animations","Action, Adventure, Mecha, Music, Sci-Fi",Special,2,7.72,7174
905,"Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta","Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,7.72,56994
1395,"Future GPX Cyber Formula Sin","Drama, Sci-Fi, Shounen, Sports",OVA,5,7.72,1070
12487,"Kyoukaisenjou no Horizon II","Action, Fantasy, Sci-Fi",TV,13,7.72,46781
324,"Mobile Police Patlabor: On Television","Comedy, Mecha, Police, Sci-Fi",TV,47,7.72,16130
709,"Mujin Wakusei Survive","Action, Adventure, Fantasy, Sci-Fi, Slice of Life",TV,52,7.72,11684
